idx,songname,writer,Songname
1,梦中的婚礼（指法版，克莱德曼演奏版）,理查德.克莱德曼,MZDHL_ZFB_KLDMYZB_
2,爸爸去哪儿（第2季火热开播中_主题曲）,群星,BBQNE_D2JHRKBZ_ZTQ_
3,卡农（C调浓情版）,帕赫贝尔,KN_CDNQB_
4,菊次郎的夏天（Summer）,久石让,JCLDXT_Summer_
5,天空之城（独奏版_带指法）,久石让,TKZC_DZB_DZF_
6,熊出没（我还有点小糊涂）,刘晨,XCM_WHYDXHT_
7,我的歌声里（弹唱版）,曲婉婷,WDGSL_DCB_
8,哆啦A梦（机器猫片头曲，六一节的礼物）,动漫影视,DLAM_JQMPTQ_LYJDLW_
9,卡农（经典版，C大调钢琴谱，带指法）,帕赫贝尔,KN_JDB_CDDGQP_DZF_
10,时间煮雨（小时代宣传曲）,郁可唯 郭敬明 吴亦凡,SJZY_XSDXCQ_
11,卷珠帘（中国好歌曲，霍尊）,霍尊,JZL_ZGHGQ_HZ_
12,捣蛋猪（背景音乐，精编版）,佚名,DDZ_BJYL_JBB_
13,说好的幸福呢（周杰伦演奏版）,周杰伦,SHDXFN_ZJLYZB_
14,别了夏天（虞美人盛开的山坡 主题曲）,宫崎骏,BLXT_YMRSKDSP_ZTQ_
15,青花瓷（鸠玖版，选自2007年专辑《我很忙》）,周杰伦,QHC__JB_XZ2007NZJ_WHM__
16,超越时空的思念（犬夜叉插曲，钢琴版）,犬夜叉,CYSKDSN_QYCCQ_GQB_
17,克罗地亚狂想曲-带指法,马克西姆-Maksim·Mrvica,KLDYKXQ_DZF
18,两只老虎,未知,LZLH
19,初雪（The First Snowflakes，C调唯美版，班得瑞）,班得瑞,CX_The_First_Snowflakes_CDWMB_BDR_
20,闻香识女人探戈舞曲（曲名：一步之遥，史密斯夫妇、真实的谎言、辛德勒名单插曲）,卡洛斯葛戴尔,WXSNRTGWQ_QM_YBZY_SMSFF_ZSDHY_XDLMDCQ_
21,送别,世界名曲,SB
22,唱的是寂寞,曹轩宾,CDSJM
23,Only my railgun高还原版,动漫影视,Only_my_railgunGHYB
24,祝你生日快乐（钢琴版）,未知,ZNSRKL_GQB_
25,FLOWER DANCE,DJ OKAWARI,FLOWER_DANCE
26,蒲公英的约定（简单版）,周杰伦,PGYDYD_JDB_
27,我爱你，中国（钢琴伴奏谱）,叶佩英,WAN_ZG_GQBZP_
28,烟熏妆,邓紫棋,YXZ
29,因为爱情完美演奏版（鸠玖编配）,王菲 陈奕迅,YWAQWMYZB__JBP_
30,真的爱你（Beyond）,Beyond,ZDAN_Beyond_
31,交响情人梦OST(Allegro Cantabile e.p ),松谷卓,JXQRMOST_Allegro_Cantabile_e_p__
32,宜春中学校歌（附歌词）,校歌,YCZXXG_FGC_
33,中国民歌儿童钢琴曲集102首(079 三十里铺),未知,ZGMGETGQQJ102S_079_SSLP_
34,梁山伯与祝英台--三载同窗,何占豪,LSBYZYT__SZTC
35,夏日最后一朵玫瑰,欧美日韩,XRZHYDMG
36,spring,久石让,Spring
37,圣诞铃声,圣诞铃声,SDLS
38,喜羊羊与灰太狼8（奇思妙想喜羊羊）, ,XYYYHTL8_QSMXXYY_
39,E大调赋格曲 考级,里姆斯基-科萨科夫,EDDFGQ_KJ
40,父亲,黑键,FQ
41,小汤第一册中(16拔河游戏),约翰 . 汤普森,XTDYCZ_16BHYX_
42,拜厄钢琴基本教程 NO.43（拜厄练习曲，第43条）,拜厄,BEGQJBJC_NO_43_BELXQ_D43T_
43,动画片《死神》主题曲《夜月》,动漫影视,DHP_SS_ZTQ_YY_
44,生日快乐（维克托伯格版本）,维克托伯格,SRKL_WKTBGBB_
45,邮递马车,古关裕,YDMC
46,耶和华是爱,我心旋律,YHHSA
47,男儿无泪（电视剧《雪花神剑》片尾曲）,袁文杰,NEWL_DSJ_XHSJ_PWQ_
48,F大调琶音 考级,考级曲目,FDDPY_KJ
49,三连音练习,梦的世界,SLYLX
50,三个人的时光 by winshy,天之痕,SGRDSG_by_winshy
51,牛奶@咖啡—越长大越孤单,牛奶@咖啡,NN_KF_YCDYGD
52,野花,yeihua,YH
53,Tears In Heaven-泪洒天堂,ERIC CLAPTON,Tears_In_Heaven_LSTT
54,枫（选自2005年专辑《十一月的肖邦》）,周杰伦,F_XZ2005NZJ_SYYDXB__
55,母亲你真伟大,未知,MQNZWD
56,【NORMAL】ネイティブフェイス（矢L子）,东方永夜抄,NORMAL___________SLZ_
57,给张何欢的：回忆的沙漏,爱国者贾泓运,GZHHD_HYDSL
58,我和你（You And Me）-完美钢琴演奏,刘欢,WHN_You_And_Me__WMGQYZ
59,潘神的迷宫（long long time ago）,yh,PSDMG_long_long_time_ago_
60,君の知らない物Z,supercell,J_Z___WZ
61,玉蝴蝶,谢霆锋,YHD
62,爱情之所以为爱情（钢琴版，梁静茹）,梁静茹,AQZSYWAQ_GQB_LJR_
63,All by Myself,celine,All_by_Myself
64,四小天鹅舞曲_Charm2版,柴科夫斯基-Peter Ilyich Tchaikovsky,SXTEWQ_Charm2B
65,W简易版,JYJ,WJYB
66,给我你的爱（演奏谱）,Tank,GWNDA_YZP_
67,美丽的神话【合唱】,流行民族曲,MLDSH_HC_
68,小丑鱼,罗志祥,XCY
69,夜莺,雅尼,Y_
70,遇见,孙燕姿,YJ
71,生日快乐,未知,SRKL
72,在公园里划船（趣味钢琴技巧里的谱）,车尔尼,ZGYLHC_QWGQJQLDP_
73,(新.珠格格片插曲) 一..情 , 李晟,X_ZGGPCQ__Y__Q_
74,The Left-digit Fall.一叶知秋（选自《孵梦森林.A Sleeping Forest》专辑）,The Daydream.白日梦,The_Left_digit_Fall_YYZQ_XZ_FMSL_A_Sleeping_Forest_ZJ_
75,夜莺,Richnew,Y_
76,数码宝贝yuuyake target,数码宝贝,SMBByuuyake_target
77,香槟,莫扎特,X_
78,Ice Cream,墨香随意,Ice_Cream
79,C大调圆舞曲,狄亚贝里,CDDYWQ
80,D大调双钢琴奏鸣曲第三乐章,莫扎特,DDDSGQZMQDSLZ
81,孩子们的哈农琴谱完整版（基本练习3、4指）,未知,HZMDHNQPWZB_JBLX3_4Z_
82,止战之殇（选自2004年专辑《七里香》）,周杰伦,ZZZ__XZ2004NZJ_QLX__
83,深情几许,蓝色生死恋,SQJX
84,东方风神录全曲连奏 触手猴3周年,触手猴,DFFSLQQLZ_CSH3ZN
85,我不够爱你,刘德华,WBGAN
86,转动,林俊杰,ZD
87,韩剧《天国的阶梯》音乐《给美丽的你》。,未知,HJ_TGDJT_YL_GMLDN__
88,天空之城,久石让,TKZC
89,《马戏团》全背景音乐,FC,MXT_QBJYL
90,想你的夜晚没有你,陈少华,XNDYWMYN
91,约翰.汤普森简易钢琴教程5（小汤5）-忠实泉,约翰.汤普森,YH_TPSJYGQJC5_XT5__ZSQ
92,Perfect-area complete!（笨蛋测验召唤兽OP ）,动漫影视,Perfect_area_complete__BDCYZHSOP__
93,《蝴蝶花》钢琴弹唱版（精）,水木年华,HDH_GQDCB_J_
94,林中漫步,理查德.克莱德曼,LZMB
95,牧羊人,R·罗杰斯,MYR
96,《绣荷包》四手联弹 C大调,镁甄,XHB_SSLD_CDD
97,postcards from far away from Coldplay,Coldplay,Postcards_from_far_away_from_Coldplay
98,新地球 Brave New World 钢琴独奏,林俊杰,XDQ_Brave_New_World_GQDZ
99,童谣（巴托克）,巴托克,TY_BTK_
100,夜の歌-钢琴独奏原声版,动漫影视,Y_G_GQDZYSB
101,我心永恒,影视,WXYH
102,星语心愿-白与黑的探戈版,张柏芝,XYXY_BYHDTGB
103,都是你 - 弹唱版,光良,DSN___DCB
104,爱得起（画沙）,钟嘉欣,ADQ_HS_
105,地平线,西村由纪江,DPX
106,吉普赛回旋曲-下弦月版,海顿,JPSHXQ_XXYB
107,魔兽争霸2间场音乐,游戏,MSZB2JCYL
108,一见钟情,刈爵士,YJZQ
109,钢琴伴奏即兴练习曲,田献,GQBZJXLXQ
110,The Element Song （元素周期表之歌）,Sheldon,The_Element_Song__YSZQBZG_
111,Gentle,Isaac Shepard,Gentle
112,[东方]青蛙子BGM,动漫影视,DF_QWZBGM
113,Winter Light,手岛葵,Winter_Light
114,打字.(The Typewriter),安德森,DZ__The_Typewriter_
115,周杰伦 - 霍元甲（原调）,周杰伦,ZJL___HYJ_YD_
116,Secret（快板，不能说的秘密） ,周杰伦,Secret_KB_BNSDMM__
117,Sailing,Rod Stewart,Sailing
118,近主十架歌,宗教音乐,JZSJG
119,寂寞寂寞就好,田馥甄,JMJMJH
120,芭蕾舞 天鹅湖 拿波里舞曲,柴可夫斯基,BLW_TEH_NBLWQ
121,戈帕克舞曲,小,GPKWQ
122,古巨基-欢乐今宵,古巨基,GJJ_HLJX
123,The day you went away,王心凌,The_day_you_went_away
124,多瑙河之波（四首联弹，a小调）,镁甄,D_HZB_SSLD_aXD_
125,秋天不回来（熬夜版）,王强,QTBHL_AYB_
126,拉梅尔,理查德.克莱德曼,LME
127,十分爱  张敬轩电影插曲,张敬轩,SFA__ZJXDYCQ
128,中国民歌儿童钢琴曲集102首(102 阿瓦日古丽),未知,ZGMGETGQQJ102S_102_AWRGL_
129,d小调赋格,巴赫-P.E.Bach,DXDFG
130,向日葵的祈愿（未完待续...）,V.K,XRKDQY_WWDX____
131,Hey Jude（钢琴演奏版）,The Beatles,Hey_Jude_GQYZB_
132,辉煌的大圆舞曲,肖邦,HHDDYWQ
133, 梁祝（简易版）,未知,LZ_JYB_
134,make you feel my love,adele,Make_you_feel_my_love
135,爱的罗曼史（简单版）,蓝色生死恋,ADLMS_JDB_
136,吉普赛回旋曲 考级,海顿,JPSHXQ_KJ
137,依然爱你（钢琴版，王力宏）,王力宏,YRAN_GQB_WLH_
138,（一场风花雪月的事 MV主题曲）爱是一颗幸福的子弹,那英 汪峰,YCFHXYDS_MVZTQ_ASYKXFDZD
139,那些年（那些年我们一起追的女孩主题曲，胡夏）,胡夏,NXN_NXNWMYQZDNHZTQ_HX_
140,火影忍者疾风传op【萤之光】演奏版。品质保证,火影忍者,HYRZJFCop_YZG_YZB_PZBZ
141,【咕噜碳】IMITATION  BLACK,初音未来,G_T_IMITATION__BLACK
142,纸飞机,ad1ad12,ZFJ
143,晚安城市,世界名曲,WACS
144,重归苏莲托 降调版,世界名曲,ZGSLT_JDB
145,悬崖上的金鱼公主/悬崖上的金鱼姬/崖上的波,动漫影视,XYSDJYGZ_XYSDJYJ_YSDB
146,Ride  with  me,不能说的秘密,Ride__with__me
147,秋日的私语,理查德.克莱德曼,QRDSY
148,查尔达斯 czardas----蒙蒂,蒙蒂,CEDS_czardas____MD
149,美了美了（本山快乐营主题曲）,小沈阳,MLML_BSKLYZTQ_
150,大奥メインテ`マ（钢琴独奏版）,村松崇继,DA_______GQDZB_
151,棒棒堂 黑-甜甜圈,黑涩会美眉,BBT_H_TTQ
152,《费加罗的婚礼》,莫扎特,FJLDHL_
153,让世界充满爱,罗大佑,RSJCMA
154,小草（欢脱版）,殷秀梅,XC_HTB_
155,《艾蜜丽的异想世界 》la valse d'Amelierar,艾蜜莉,AMLDYXSJ__la_valse_d_Amelierar
156,那女孩对我说,黄义达,NNHDWS
157,古城之涟漪,圣田康子,GCZL_
158,喜欢你（我们的存在ED）,未知,XHN_WMDCZED_
159,匈牙利舞曲第5号,勃拉姆斯,XYLWQD5H
160,天灰,S.H.E,TH
161,约翰.汤普森现代钢琴教程2（大汤2）_34蹦蹦跳跳穿过森林,约翰.汤普森,YH_TPSXDGQJC2_DT2__34BBTTCGSL
162,从全音符到八分音符,李羽,CQYFDBFYF
163,洛奇 cutscene16,动漫影视,LQ_cutscene16
164,平成狸合战-插曲,宫崎骏,PCLHZ_CQ
165,欢乐颂(学习版),雪玲珑,HLS_XXB_
166,寂寞在唱歌,阿桑,JMZCG
167,香草泡泡的季节,V.K克,XCPPDJJ
168,黑蔷薇组曲⒈序曲,aqtq314,HQ_ZQ_XQ
169,铃儿响叮当-总谱,世界名曲,LEXDD_ZP
170,觉醒,翩姗,JX
171,天空之城-(小提琴)二人版,久石让,TKZC__XTQ_ERB
172,红莓花儿开,杜那耶夫斯基,H_HEK
173,地下城与勇士,动漫影视,DXCYYS
174,宏伟华丽的 DNF,游戏,HWHLD_DNF
175,少女さとり～3rd eye,东方project,SN____3rd_eye
176,童谣,但愿风知道,TY
177,即兴曲Op.142 no.2 舒伯特 考级,舒伯特,JXQOp_142_no_2_SBT_KJ
178,白夜（《天使怪盗》主题曲）,动漫影视,BY__TSGD_ZTQ_
179,狂欢节NO.14,舒曼,KHJNO_14
180,候鸟,S.H.E,HN
181,闪烁的小星星,未知,SSDXXX
182,我的秘密,邓紫棋,WDMM
183,我也很想他,孙燕姿,WYHXT
184,《最终幻想VI》 Tina's theme,最终幻想,ZZHXVI__Tina_s_theme
185,B大调夜曲，Op.62_No.1（肖邦第17号夜曲）,肖邦,BDDYQ_Op_62_No_1_XBD17HYQ_
186,D大调苏格兰舞曲,肖邦-chopin,DDDSGLWQ
187,僵尸新娘-（公主篇）,动漫影视,JSXN__GZP_
188,动物狂欢节——骡子,圣桑,DWKHJ__LZ
189,平安夜浪漫曲,弗兰克,PAYLMQ
190,简单就好2四三拍,王小特,JDJH2SSP
191,小汤4.5.7(嗬_西进!),约翰 . 汤普森,XT4_5_7___XJ__
192,猫的报恩,动漫影视,MDBE
193,ふたたび （重新开始） - 《千と千寻の神Lし》,久石让,ZXKS_____Q_QX_SL__
194,杀破狼-河虾版,仙剑奇侠传,SPL_HXB
195,冬之景（吉洛克）,吉洛克,DZJ_JLK_
196,我知道,BY2,WZD
197,双截棍 小段SOLO（选自2001年专辑《范特西 Fantasy》）,周杰伦,SJG_XDSOLO_XZ2001NZJ_FTX_Fantasy__
198,忘词,五月天,WC
199,不能说的秘密爵士,周杰伦,BNSDMMJS
200,小幽默曲,nkhun,XYMQ
201,光の旋律,尾浦游纪,G_XL
202,快乐的哆嗦(炫技版),俊俊,KLDD___JB_
203,I Say Yes柔和版,佚名,I_Say_YesRHB
204,生来彷徨（钢琴谱，汪峰）,汪峰,SL___GQP_WF_
205,第七首曲子：C大调,作者：Ethan20050529,DQSQZ_CDD
206,肖邦练习曲,肖邦,XBLXQ
207,光明行-钢琴伴奏,刘天华,GMX_GQBZ
208,空之境界 - 君が光に浃à菩肖,尾浦游纪,KZJJ___J_G___PX
209,夜曲,肖邦-chopin,YQ
210,Alone,火影忍者,Alone
211,Christmas.canon-圣诞卡农-stvenLi,帕赫贝尔-Pachelbel,Christmas_canon_SDKN_stvenLi
212,proud,东方神起,Proud
213,青春舞曲编改版,中国名曲,QCWQBGB
214,Papillon（Yiruma.李闰珉《Oasis》）,Yiruma.李闰珉,Papillon_Yiruma_LR__Oasis__
215,上帝听祷告,耶酥,SDTDG
216,夜车,曾轶可,YC
217,山鹰之歌,保罗西蒙,SYZG
218,不想睡,梁静茹,BXS
219,一万个理由,郑源,YWGLY
220,【NORMAL】旧地z街道を行く（东方地灵殿第4面）,东方project,NORMAL_JDzJD_X__DFDLDD4M_
221,长笛独奏《臆病者》【《蔷薇少女》插曲】,动漫影视,CDDZ_YBZ___Q_SN_CQ_
222,久石让纯钢琴专辑《ENCORE》全10首曲谱(04.The Sixth Station(映画「千と千),久石让,JSRCGQZJ_ENCORE_Q10SQP_04_The_Sixth_Station_YH_Q_Q_
223,From Silence,佐桥俊彦,From_Silence
224,花好月圆  新年祝福 （恰恰）Op7.1,jerry5743,HHYY__XNZF__QQ_Op7_1
225,I cant stop thinking of you  ,未知分类,I_cant_stop_thinking_of_you__
226,A Swan Song 电影《黑天鹅》片尾曲,黑天鹅,A_Swan_Song_DY_HTE_PWQ
227,Vampire Killer-恶魔城,动漫影视,Vampire_Killer_EMC
228, bE大调奏鸣曲第一乐章 海顿 考级,海顿,BEDDZMQDYLZ_HD_KJ
229,我爱他,丁当,WAT
230,少年情-仙剑奇侠传五主题曲,动漫,SNQ_XJQXCWZTQ
231,勇,杨千.,Y
232,d小调托卡他与赋格,巴哈-Bach_ Johann Sebastian,DXDTKTYFG
233,a long time ago,数码宝贝,A_long_time_ago
234,赞美之泉,赞美之泉,ZMZQ
235,土耳其进行曲（阿拉伯音阶版）,莫扎特,TEQJXQ_ALBYJB_
236,悲伤,悲伤恋歌,BS
237,良人属我,∮→_∮,LRSW
238,雪之少女kanon-约束,折跎熘,XZSNkanon_YS
239,A大调前奏曲（2009上海音协九级考试曲）,J.S.巴赫,ADDQZQ_2009SHYXJJKSQ_
240,Allemande - Abrsm 2013-14 Grade 5 A:3 (Harmonie.R),格奥尔格.弗里德里希.亨德尔,Allemande___Abrsm_2013_14_Grade_5_A_3__Harmonie_R_
241,贝多芬F大调小奏鸣曲第一乐章 考级,贝多芬,BDFFDDXZMQDYLZ_KJ
242,温柔（钢琴伴奏原调G调，五月天）,五月天,WR_GQBZYDGD_WYT_
243,话说夏娃（卓文萱，钢琴谱）,卓文萱,HSXW_ZW__GQP_
244,给我一个理由忘记,黄丽玲,GWYGLYWJ
245,慢慢（中国好声音，王乃恩，伴奏版）,王乃恩,MM_ZGHSY_WNE_BZB_
246,指纹（轩辕剑之天之痕插曲，钢琴版）,胡歌,ZW_XYJZTZHCQ_GQB_
247,星空（简化版）,理查德.克莱德曼,XK_JHB_
248,献给爱丽丝,贝多芬,XGALS
249,名侦探柯南插曲,未知,MZTKNCQ
250,心动（钢琴演奏版，林晓培）,林晓培,XD_GQYZB_LXP_
251,水丽舞（西村由纪江）,西村由纪江,SLW_XCYJJ_
252,虞美人-想学琶音就跟我来！,洪山19栋,YMR_XXPYJGWL_
253,芭蕾舞 胡桃夹子 第一幕 西班牙舞,柴可夫斯基,BLW_HTJZ_DYM_XBYW
254,外国儿童歌曲钢琴曲集111首(100 往日情怀),未知,WGETGQGQQJ111S_100_WRQH_
255,天空之城—四手（瞎编配）,久石让,TKZC_SS_XBP_
256,大江东去,动漫影视,DJDQ
257,车尔尼299 No.35,车尔尼,CEN299_No_35
258,爸爸去哪儿第一季（原版）,华语群星,BBQNEDYJ_YB_
259,小情人,张镐哲,XQR
260,明天以后,泳儿,MTYH
261,理查德克莱德曼《爱的主题》,理查德·克莱德曼,LCDKLDM_ADZT_
262,父与子（不能说的秘密插曲）,周杰伦,FYZ_BNSDMMCQ_
263,小奏鸣曲-莫扎特 考级,莫扎特,XZMQ_MZT_KJ
264,城府伴奏,许嵩,CFBZ
265,罗曼蒂克的探戈（jerry改编）,世界名曲,LMDKDTG_jerryGB_
266,aban（数码宝贝上集预告曲）,数码宝贝,Aban_SMBBSJYGQ_
267,叹息-音乐会练习曲,李斯特,TX_YLHLXQ
268,[奠]演奏版阿根廷别为我哭泣,Yuhki Kuramoto,D_YZBAGTBWWKQ
269,零之轨迹delivered_thoughts,动漫影视,LZGJdelivered_thoughts
270,Complete,少女时代,Complete
271,加伏特 考级,巴赫,JFT_KJ
272,向日葵（初音ミクappend，dark）,初音未来,XRK_CY__append_dark_
273,给我你的爱,终极一班,GWNDA
274,滚滚长江东逝水,杨洪基,GGCJDSS
275,那年夏天（钢琴独奏版，许飞）,许飞,NNXT_GQDZB_XF_
276,9-练习曲 NO.7 克列门蒂 考级,克列门蒂,LXQ_NO_7_KLMD_KJ
277,Variation on Canon(C Major),帕赫贝尔-Pachelbel,Variation_on_Canon_C_Major_
278,喷泉,木下千叶,PQ
279,爱不单行（副歌）,罗志祥,ABDX_FG_
280,铃儿响叮当,世界名曲,LEXDD
281,家庭教师-ツナ觉醒 ,佐桥俊彦 ,JTJS___JX_
